Sealed Status,Length,Segment Name
false,745,_system/_tables/_system/_MARK_kvTableStream/metadata.#.65532639-2a9b-428b-a6e6-18bf7209ffcd
false,18,_system/_tables/_system/_MARK_kvTableStream/epochsWithTransactions.#.65532639-2a9b-428b-a6e6-18bf7209ffcd
false,18,_system/_tables/_system/_commitStream/epochsWithTransactions.#.6c394534-c8ae-4ea3-a881-6ffd00e85987
false,819,_system/_tables/_system/_commitStream/metadata.#.6c394534-c8ae-4ea3-a881-6ffd00e85987
false,745,_system/_tables/_system/_RGkvtStreamReaders/metadata.#.e970309a-c425-4865-943c-8702630a2383
false,18,_system/_tables/_system/_RGkvtStreamReaders/epochsWithTransactions.#.e970309a-c425-4865-943c-8702630a2383
false,744,_system/_tables/_system/_MARK_commitStream/metadata.#.35100423-b940-42bc-a1d6-6cd5c9b6177b
false,18,_system/_tables/_system/_MARK_commitStream/epochsWithTransactions.#.35100423-b940-42bc-a1d6-6cd5c9b6177b
false,818,_system/_tables/_system/_abortStream/metadata.#.f6cdc22f-efd7-4774-8d55-a2e9cbd6bf75
false,18,_system/_tables/_system/_abortStream/epochsWithTransactions.#.f6cdc22f-efd7-4774-8d55-a2e9cbd6bf75
false,18,_system/_tables/_system/_RGcommitStreamReaders/epochsWithTransactions.#.7f11d9b3-ddc4-45d4-b8b9-3aca15837805
false,748,_system/_tables/_system/_RGcommitStreamReaders/metadata.#.7f11d9b3-ddc4-45d4-b8b9-3aca15837805
false,18,_system/_tables/_system/_MARK_RGabortStreamReaders/epochsWithTransactions.#.7cf5b6da-7bea-4eeb-8a15-fb7d85a678d0
false,752,_system/_tables/_system/_MARK_RGabortStreamReaders/metadata.#.7cf5b6da-7bea-4eeb-8a15-fb7d85a678d0
false,820,_system/_tables/_system/_requeststream/metadata.#.5c2d7c42-47a9-471f-9011-d00f9671ede8
false,18,_system/_tables/_system/_requeststream/epochsWithTransactions.#.5c2d7c42-47a9-471f-9011-d00f9671ede8
false,18,_system/_tables/_system/_RGscaleGroup/epochsWithTransactions.#.b93fb0e7-240f-4684-bcb7-20fb3e9d2d54
false,739,_system/_tables/_system/_RGscaleGroup/metadata.#.b93fb0e7-240f-4684-bcb7-20fb3e9d2d54
false,18,_system/_tables/_system/_MARK_RGscaleGroup/epochsWithTransactions.#.6d6b9d8b-bf37-441d-81b9-d2ad284a6024
false,744,_system/_tables/_system/_MARK_RGscaleGroup/metadata.#.6d6b9d8b-bf37-441d-81b9-d2ad284a6024
false,747,_system/_tables/_system/_RGabortStreamReaders/metadata.#.6108b133-57e9-4d23-9a2e-02eb9b0169ab
false,18,_system/_tables/_system/_RGabortStreamReaders/epochsWithTransactions.#.6108b133-57e9-4d23-9a2e-02eb9b0169ab
false,743,_system/_tables/_system/_MARK_abortStream/metadata.#.997e5e74-9b16-414d-b6be-60664af14fa3
false,18,_system/_tables/_system/_MARK_abortStream/epochsWithTransactions.#.997e5e74-9b16-414d-b6be-60664af14fa3
false,18,_system/_tables/_system/_kvTableStream/epochsWithTransactions.#.785d771b-2185-4fb5-963a-012298de1cfe
false,1060,_system/_tables/_system/_kvTableStream/metadata.#.785d771b-2185-4fb5-963a-012298de1cfe
false,18,_system/_tables/_system/_MARK_requeststream/epochsWithTransactions.#.1aa0c759-6a54-48bc-ad74-62e925f82172
false,745,_system/_tables/_system/_MARK_requeststream/metadata.#.1aa0c759-6a54-48bc-ad74-62e925f82172
false,750,_system/_tables/_system/_MARK_RGkvtStreamReaders/metadata.#.5a2af1c9-020e-4bb6-bd9e-a665a18e2a34
false,18,_system/_tables/_system/_MARK_RGkvtStreamReaders/epochsWithTransactions.#.5a2af1c9-020e-4bb6-bd9e-a665a18e2a34
false,753,_system/_tables/_system/_MARK_RGcommitStreamReaders/metadata.#.60f17bbc-0463-4789-b0d3-7715ccad119a
false,18,_system/_tables/_system/_MARK_RGcommitStreamReaders/epochsWithTransactions.#.60f17bbc-0463-4789-b0d3-7715ccad119a
false,824,_system/_tables/_system/streamsInScope.#.132c7d28-872d-486c-abf2-1d9abf124e3d
false,82,_system/_tables/scopes
false,18,_system/_tables/testScope/_MARKtestListSegmentsCommand/epochsWithTransactions.#.7f023ce0-5650-40a4-ba4e-e4d23bb3aefc
false,756,_system/_tables/testScope/_MARKtestListSegmentsCommand/metadata.#.7f023ce0-5650-40a4-ba4e-e4d23bb3aefc
false,117,_system/_tables/testScope/streamsInScope.#.45aa0921-4f1b-4c4b-85ef-470921a2e99e
false,18,_system/_tables/testScope/testListSegmentsCommand/epochsWithTransactions.#.a5a165cf-4cb3-44c0-a38f-2846c4633f30
false,751,_system/_tables/testScope/testListSegmentsCommand/metadata.#.a5a165cf-4cb3-44c0-a38f-2846c4633f30
false,1958,_system/_RGkvtStreamReaders/0.#epoch.0
false,1026,_system/_RGcommitStreamReaders/0.#epoch.0
false,1044,_system/_RGscaleGroup/0.#epoch.0
false,1008,_system/_RGabortStreamReaders/0.#epoch.0
false,65926,_system/containers/metadata_0
false,130,testScope/testListSegmentsCommand/0.#epoch.0
